trialnum	fixonset_ms	imgonset_ms	imgoffset_ms	presstime_ms	deltatime_ms	trueletter	userletter	sequence
1	681925.066227	693267.004484	693793.119301	693527.90875	260.904265595	l	l	['z', 'b', 'r', 'd', 'c', 'a', 's', 'q', 'p', 'f', 'v', 'm', 'i', 'e', 'x', 'u', 'l', 'y', 'j', 'k']
2	709238.283137	713930.274762	714485.03667	714327.366435	397.091672623	p	w	['o', 'e', 'w', 'p', 'i', 'h', 'a']
3	723988.530659	727604.555559	728203.643288	727831.119417	226.563858354	h	h	['s', 'h', 'n', 'o', 'q']
4	734021.899088	739769.245769	740223.153785	739990.932833	221.687064119	u	u	['c', 'i', 'f', 'h', 'd', 'u', 'x', 'b', 'e']
5	746293.58416	751550.020345	752031.673203	751718.600279	168.579934026	m	f	['v', 'l', 'b', 'f', 'm', 't', 'w', 's']
6	757236.265528	762983.600738	763440.144565	763046.526054	62.9253158626	l	t	['k', 'q', 'g', 'u', 't', 'l', 'w', 'd', 'j']
7	774420.596638	779113.307587	779666.886519	779286.346244	173.038656956	l	a	['q', 'w', 'a', 'l', 'g', 'z', 'c']
8	785059.610026	792225.4325	792723.460471	792613.783313	388.350812839	v	j	['e', 'b', 'q', 'd', 'i', 'k', 'j', 'f', 'v', 'a', 'l', 'p']
9	798595.163594	804342.394664	804795.987844	804389.607743	47.2130793231	s	k	['h', 'r', 'i', 'w', 'k', 's', 'j', 'm', 'e']
10	810242.479244	815989.753178	816444.478018	816069.276981	79.5238031992	n	d	['y', 't', 'p', 'u', 'd', 'n', 'b', 'l', 'h']
11	821075.011652	827285.473577	827692.968735	827285.601866	0.128289028886	u	m	['i', 'w', 'p', 'k', 'm', 'b', 'u', 'j', 'h', 'z']
12	833138.721795	839349.238959	839756.502292	839365.170344	15.9313843865	l	x	['c', 'm', 'i', 'f', 'x', 's', 'l', 'w', 'p', 'o']
13	847538.101842	856274.92037	856723.255209	856276.452896	1.5325256458	a	g	['p', 'x', 'r', 'b', 'e', 'd', 'c', 'i', 'f', 't', 'g', 'a', 'z', 'n', 'k']
14	861426.581245	868053.512523	868578.771879	868260.330738	206.818214748	y	v	['q', 'c', 'h', 'd', 'f', 'r', 'v', 'y', 'b', 'i', 'a']
15	872609.916832	877303.173539	877858.201382	877636.081154	332.907614995	r	n	['k', 'u', 'n', 'r', 'z', 'm', 'q']
